title,url,source,published,query,collected_at
Доля украинской агропродукции в импорте ЕС заметно снизилась,https://24tv.ua/agro24/ru/dolja-ukrainskoj-agroprodukcii-v-importe-es-zametno-snizilas_n3066891,24tv.ua,20260513T090000Z,grain export Ukraine,2026-05-20T05:42:38.000391
Росія продає крадене зерно з України - як Київ бореться з цим в усьому світі,https://www.rbc.ua/rus/news/zernovi-viyni-k-rosiya-budue-prodovolchu-1779095707.html,rbc.ua,20260519T044500Z,grain export Ukraine,2026-05-20T05:42:38.000393
"A un día de la visita de Putin a Xi Jinping , un drone ruso impactó contra un carguero chino en el mar Negro",https://www.infobae.com/america/mundo/2026/05/18/a-un-dia-de-la-visita-de-putin-a-xi-jinping-un-drone-ruso-impacto-contra-un-carguero-chino-en-el-mar-negro/,infobae.com,20260518T131500Z,grain export Ukraine,2026-05-20T05:42:38.000395
СЗР отримала нові російські документи з оцінкою втрат від війни Зеленський,https://podrobnosti.ua/2515814-szr-otrimala-nov-rosjsk-dokumenti-z-otsnkoju-vtrat-vd-vjni-zelenskij.html,podrobnosti.ua,20260518T140000Z,grain export Ukraine,2026-05-20T05:42:38.000397
Гауляйтер окупованого Скадовська потрапив під удар дрона,https://uainfo.org/blognews/1779109419-gaulyayter-okupovanogo-skadovska-potrapiv-pid-udar-drona.html,uainfo.org,20260518T173000Z,grain export Ukraine,2026-05-20T05:42:38.000399
Стали відомі деталі 21 - го пакета санкцій ЄС,https://news.bigmir.net/ua/world/10354004-stali-vidomi-detali-21-go-paketa-sanktsij-jes,news.bigmir.net,20260515T181500Z,grain export Ukraine,2026-05-20T05:42:38.000401
Удари України по нафтових обʼєктах в Росії : Зеленський повідомив про результати,https://zaxid.net/udari_ukrayini_zmushuyut_rosiyski_naftovi_kompaniyi_zupinyati_sverdlovini_n1637343,zaxid.net,20260518T231500Z,grain export Ukraine,2026-05-20T05:42:38.000403
Стали відомі деталі 21 - го пакета санкцій ЄС,https://ua.korrespondent.net/world/4878948-staly-vidomi-detali-21-ho-paketa-sanktsii-yes,ua.korrespondent.net,20260515T180000Z,grain export Ukraine,2026-05-20T05:42:38.000405
The race to arm Ukraine highlights West worry of losing tech secrets,https://www.defensenews.com/global/europe/2022/06/08/the-race-to-arm-ukraine-highlights-wests-worry-of-losing-tech-secrets/,defensenews.com,20260514T130000Z,grain export Ukraine,2026-05-20T05:42:38.000407
صراع الوثائق والأقمار الصناعية .. هل تمول السوق الإسرائيلية آلة الحرب الروسية ؟ ,https://www.aljazeera.net/news/2026/5/17/%D9%87%D9%84-%D9%8A%D9%85%D9%88%D9%84-%D8%A7%D9%84%D8%B3%D9%88%D9%82-%D8%A7%D9%84%D8%A5%D8%B3%D8%B1%D8%A7%D8%A6%D9%8A%D9%84%D9%8A-%D8%A2%D9%84%D8%A9-%D8%A7%D9%84%D8%AD%D8%B1%D8%A8,aljazeera.net,20260517T193000Z,grain export Ukraine,2026-05-20T05:42:38.000409
"Ukraine war briefing : Chinese ship hit on way in to Odesa port , says Zelenskyy",https://www.theguardian.com/world/2026/may/19/ukraine-war-briefing-chinese-ship-hit-odesa-port-zelenskyy,theguardian.com,20260519T014500Z,grain export Ukraine,2026-05-20T05:42:38.000413
Зеленський доручив розвідці оприлюднити спроби РФ залучити світові компанії до виправлення кризової фінансової ситуації,https://interfax.com.ua/news/general/1168698.html,interfax.com.ua,20260518T131500Z,grain export Ukraine,2026-05-20T05:42:38.000415
Суд вынес приговор  министру сельского хозяйства ЛНР  ,https://korrespondent.net/ukraine/4878570-sud-vynes-pryhovor-mynystru-selskoho-khoziaistva-lnr,korrespondent.net,20260514T123000Z,grain export Ukraine,2026-05-20T05:42:38.000417
В Україні викрили схему передачі судна для тіньового флоту - українцю повідомили про підозру,https://www.obozrevatel.com/ukr/ekonomika-glavnaya/fea/ukrainets-dopomig-kupiti-sudno-dlya-tinovogo-flotu-rf-vikrito-tsinichnu-shemu-obhoda-sanktsij.htm,obozrevatel.com,20260514T120000Z,grain export Ukraine,2026-05-20T05:42:38.000419
"  Міністр сільського господарства ЛНР  отримав вирок за захоплення українських агроактивів на 3 , 1 млрд грн",https://vv.com.ua/20260514/ministr-silskogo-gospodarstva-lnr-otrimav-virok-za-zahoplennia-ykrayinskih-agroaktiviv-na-31-mlrd-grn/,vv.com.ua,20260514T111500Z,grain export Ukraine,2026-05-20T05:42:38.000421
Агро Перспектива,http://www.agroperspectiva.com/ru/news/199604,agroperspectiva.com,20260519T194500Z,grain export Ukraine,2026-05-20T05:42:38.000423
"Polska i Ukraina siadają do kluczowych rozmów o rolnictwie . W tle handel , embargo i wejście do UE","https://www.farmer.pl/prawo/przepisy-i-regulacje/polska-i-ukraina-siadaja-do-kluczowych-rozmow-o-rolnictwie-w-tle-handel-embargo-i-wejscie-do-ue,177552.html",farmer.pl,20260519T091500Z,grain export Ukraine,2026-05-20T05:42:38.000425
Ζελένσκι : Η Ρωσία προσπαθεί να εξαγάγει σιτηρά από την Κριμαία μέσω αμερικανικών εταιρειών,https://www.skaikritis.gr/zelenski-i-rosia-prospathei-na-exagagei-sitira-apo-tin-krimaia-meso-amerikanikon-etaireion/,skaikritis.gr,20260518T161500Z,grain export Ukraine,2026-05-20T05:42:38.000427
بحر قزوين ليس بديلاً لهرمز,https://www.albayan.ae/opinions/articles/1289000,albayan.ae,20260516T214500Z,grain export Ukraine,2026-05-20T05:42:38.000429
